"Step","56gn10wr02bs4ep12accelerator - train/loss","56gn10wr02bs4ep12accelerator - train/loss__MIN","56gn10wr02bs4ep12accelerator - train/loss__MAX","224gn03wr03bs4ep8accelerator - train/loss","224gn03wr03bs4ep8accelerator - train/loss__MIN","224gn03wr03bs4ep8accelerator - train/loss__MAX","112gn03wr03bs4ep8accelerator - train/loss","112gn03wr03bs4ep8accelerator - train/loss__MIN","112gn03wr03bs4ep8accelerator - train/loss__MAX","28gn1wr02bs4ep20accelerator - train/loss","28gn1wr02bs4ep20accelerator - train/loss__MIN","28gn1wr02bs4ep20accelerator - train/loss__MAX"
"304","0.0255","0.0255","0.0255","0.1264","0.1264","0.1264","0.0291","0.0291","0.0291","","",""
"306","0.0242","0.0242","0.0242","0.0803","0.0803","0.0803","0.0598","0.0598","0.0598","","",""
"308","0.0223","0.0223","0.0223","0.2179","0.2179","0.2179","0.0621","0.0621","0.0621","","",""
"310","0.0305","0.0305","0.0305","0.0777","0.0777","0.0777","0.0435","0.0435","0.0435","","",""
"312","0.0212","0.0212","0.0212","0.1275","0.1275","0.1275","0.0233","0.0233","0.0233","","",""
"314","0.0194","0.0194","0.0194","0.1067","0.1067","0.1067","0.0414","0.0414","0.0414","","",""
"316","0.051","0.051","0.051","0.0953","0.0953","0.0953","0.0556","0.0556","0.0556","","",""
"318","0.0484","0.0484","0.0484","0.096","0.096","0.096","0.079","0.079","0.079","","",""
"320","0.0364","0.0364","0.0364","0.1305","0.1305","0.1305","0.0526","0.0526","0.0526","","",""
"322","0.0408","0.0408","0.0408","0.0973","0.0973","0.0973","0.0674","0.0674","0.0674","","",""
"324","0.0449","0.0449","0.0449","0.1231","0.1231","0.1231","0.0914","0.0914","0.0914","","",""
"326","0.0363","0.0363","0.0363","0.0666","0.0666","0.0666","0.0505","0.0505","0.0505","","",""
"328","0.0222","0.0222","0.0222","0.0692","0.0692","0.0692","0.0523","0.0523","0.0523","","",""
"330","0.0182","0.0182","0.0182","0.1318","0.1318","0.1318","0.1066","0.1066","0.1066","","",""
"332","0.0224","0.0224","0.0224","0.0648","0.0648","0.0648","0.1253","0.1253","0.1253","","",""
"334","0.0351","0.0351","0.0351","0.057","0.057","0.057","0.0596","0.0596","0.0596","","",""
"336","","","","0.0574","0.0574","0.0574","0.0748","0.0748","0.0748","","",""
"338","","","","0.0748","0.0748","0.0748","0.0668","0.0668","0.0668","","",""
"340","","","","0.1239","0.1239","0.1239","0.0529","0.0529","0.0529","","",""
"342","","","","0.1449","0.1449","0.1449","0.0408","0.0408","0.0408","","",""
"344","","","","0.1248","0.1248","0.1248","0.0176","0.0176","0.0176","","",""
"346","","","","0.0736","0.0736","0.0736","0.0723","0.0723","0.0723","","",""
"348","","","","0.0587","0.0587","0.0587","0.0403","0.0403","0.0403","","",""
"350","","","","0.1004","0.1004","0.1004","0.0263","0.0263","0.0263","","",""
"352","","","","0.0492","0.0492","0.0492","0.02","0.02","0.02","","",""
"354","","","","0.0659","0.0659","0.0659","0.0493","0.0493","0.0493","","",""
"356","","","","0.0917","0.0917","0.0917","0.0655","0.0655","0.0655","","",""
"358","","","","0.0425","0.0425","0.0425","0.0465","0.0465","0.0465","","",""
"360","","","","0.1351","0.1351","0.1351","0.0229","0.0229","0.0229","","",""
"362","","","","0.1544","0.1544","0.1544","0.041","0.041","0.041","","",""
"364","","","","0.1146","0.1146","0.1146","0.0436","0.0436","0.0436","","",""
"366","","","","0.0911","0.0911","0.0911","0.0491","0.0491","0.0491","","",""
"368","","","","0.0343","0.0343","0.0343","0.0418","0.0418","0.0418","","",""
"370","","","","0.0679","0.0679","0.0679","0.0473","0.0473","0.0473","","",""
"372","","","","0.1079","0.1079","0.1079","0.0774","0.0774","0.0774","","",""
"374","","","","0.0971","0.0971","0.0971","0.078","0.078","0.078","","",""
"376","","","","0.1342","0.1342","0.1342","0.0477","0.0477","0.0477","","",""
"378","","","","0.0625","0.0625","0.0625","0.0341","0.0341","0.0341","","",""
"380","","","","0.1074","0.1074","0.1074","0.0317","0.0317","0.0317","","",""
"382","","","","0.0728","0.0728","0.0728","0.0541","0.0541","0.0541","","",""
"384","","","","0.1221","0.1221","0.1221","0.0593","0.0593","0.0593","","",""
"386","","","","0.0467","0.0467","0.0467","0.0522","0.0522","0.0522","","",""
"388","","","","0.1013","0.1013","0.1013","0.0433","0.0433","0.0433","","",""
"390","","","","0.1611","0.1611","0.1611","0.042","0.042","0.042","","",""
"392","","","","0.0645","0.0645","0.0645","0.0175","0.0175","0.0175","","",""
"394","","","","0.1434","0.1434","0.1434","0.0357","0.0357","0.0357","","",""
"396","","","","0.1518","0.1518","0.1518","0.0276","0.0276","0.0276","","",""
"398","","","","0.0793","0.0793","0.0793","0.0456","0.0456","0.0456","","",""
"400","","","","0.0401","0.0401","0.0401","0.0183","0.0183","0.0183","","",""
"402","","","","0.0851","0.0851","0.0851","0.0255","0.0255","0.0255","","",""
"404","","","","0.0451","0.0451","0.0451","0.0485","0.0485","0.0485","","",""
"406","","","","0.1062","0.1062","0.1062","0.0429","0.0429","0.0429","","",""
"408","","","","0.0465","0.0465","0.0465","0.048","0.048","0.048","","",""
"410","","","","0.0795","0.0795","0.0795","0.0475","0.0475","0.0475","","",""
"412","","","","0.0747","0.0747","0.0747","0.0174","0.0174","0.0174","","",""
"414","","","","0.036","0.036","0.036","0.0138","0.0138","0.0138","","",""
"416","","","","0.1505","0.1505","0.1505","0.0162","0.0162","0.0162","","",""
"418","","","","0.0902","0.0902","0.0902","0.03","0.03","0.03","","",""
"420","","","","0.0822","0.0822","0.0822","0.0136","0.0136","0.0136","","",""
"422","","","","0.0936","0.0936","0.0936","0.0419","0.0419","0.0419","","",""
"424","","","","0.0771","0.0771","0.0771","0.0354","0.0354","0.0354","","",""
"426","","","","0.1388","0.1388","0.1388","0.0315","0.0315","0.0315","","",""
"428","","","","0.0413","0.0413","0.0413","0.0459","0.0459","0.0459","","",""
"430","","","","0.1436","0.1436","0.1436","0.0393","0.0393","0.0393","","",""
"432","","","","0.0589","0.0589","0.0589","0.0402","0.0402","0.0402","","",""
"434","","","","0.0479","0.0479","0.0479","0.0291","0.0291","0.0291","","",""
"436","","","","0.111","0.111","0.111","0.0244","0.0244","0.0244","","",""
"438","","","","0.0896","0.0896","0.0896","0.0471","0.0471","0.0471","","",""
"440","","","","0.0445","0.0445","0.0445","0.0174","0.0174","0.0174","","",""
"442","","","","0.1037","0.1037","0.1037","0.0446","0.0446","0.0446","","",""
"444","","","","0.0807","0.0807","0.0807","0.0637","0.0637","0.0637","","",""
"446","","","","0.0763","0.0763","0.0763","0.0457","0.0457","0.0457","","",""
"448","","","","0.0536","0.0536","0.0536","","","","","",""
"450","","","","0.0338","0.0338","0.0338","","","","","",""
"452","","","","0.0312","0.0312","0.0312","","","","","",""
"454","","","","0.0543","0.0543","0.0543","","","","","",""
"456","","","","0.1071","0.1071","0.1071","","","","","",""
"458","","","","0.0559","0.0559","0.0559","","","","","",""
"460","","","","0.0668","0.0668","0.0668","","","","","",""
"462","","","","0.0489","0.0489","0.0489","","","","","",""
"464","","","","0.0372","0.0372","0.0372","","","","","",""
"466","","","","0.0725","0.0725","0.0725","","","","","",""
